Lat,Lon,Jan,Dec,Ann
-90,-180,9.63,10.97,3.19
-90,-179,9.63,10.97,3.19
-90,-178,9.63,10.97,3.19
-90,-177,9.63,10.97,3.19
-90,-176,9.63,10.97,3.19
-90,-175,9.63,10.97,3.19
-90,-174,9.63,10.97,3.19
-90,-173,9.63,10.97,3.19
-90,-172,9.63,10.97,3.19
-90,-171,9.63,10.97,3.19
-90,-170,9.63,10.97,3.19
-90,-169,9.63,10.97,3.19
-90,-168,9.63,10.97,3.19
-90,-167,9.63,10.97,3.19
-90,-166,9.63,10.97,3.19
-90,-165,9.63,10.97,3.19
-90,-164,9.63,10.97,3.19
-90,-163,9.63,10.97,3.19
-90,-162,9.63,10.97,3.19
-90,-161,9.63,10.97,3.19
-90,-160,9.63,10.97,3.19
-90,-159,9.63,10.97,3.19
-90,-158,9.63,10.97,3.19
-90,-157,9.63,10.97,3.19
-90,-156,9.63,10.97,3.19
-90,-155,9.63,10.97,3.19
-90,-154,9.63,10.97,3.19
-90,-153,9.63,10.97,3.19
-90,-152,9.63,10.97,3.19
-90,-151,9.63,10.97,3.19
-90,-150,9.63,10.97,3.19
-90,-149,9.63,10.97,3.19
-90,-148,9.63,10.97,3.19
-90,-147,9.63,10.97,3.19
-90,-146,9.63,10.97,3.19
-90,-145,9.63,10.97,3.19
-90,-144,9.63,10.97,3.19
-90,-143,9.63,10.97,3.19
-90,-142,9.63,10.97,3.19
-90,-141,9.63,10.97,3.19
-90,-140,9.63,10.97,3.19
-90,-139,9.63,10.97,3.19
-90,-138,9.63,10.97,3.19
-90,-137,9.63,10.97,3.19
-90,-136,9.63,10.97,3.19
-90,-135,9.63,10.97,3.19
-90,-134,9.63,10.97,3.19
-90,-133,9.63,10.97,3.19
-90,-132,9.63,10.97,3.19
-90,-131,9.63,10.97,3.19
-90,-130,9.63,10.97,3.19
-90,-129,9.63,10.97,3.19
-90,-128,9.63,10.97,3.19
-90,-127,9.63,10.97,3.19
-90,-126,9.63,10.97,3.19
-90,-125,9.63,10.97,3.19
-90,-124,9.63,10.97,3.19
-90,-123,9.63,10.97,3.19
-90,-122,9.63,10.97,3.19
-90,-121,9.63,10.97,3.19
-90,-120,9.66,10.97,3.2
-90,-119,9.66,10.97,3.2
-90,-118,9.66,10.97,3.2
-90,-117,9.66,10.97,3.2
-90,-116,9.66,10.97,3.2
-90,-115,9.66,10.97,3.2
-90,-114,9.66,10.97,3.2
-90,-113,9.66,10.97,3.2
-90,-112,9.66,10.97,3.2
-90,-111,9.66,10.97,3.2
-90,-110,9.66,10.97,3.2
-90,-109,9.66,10.97,3.2
